,data_type,model_type,r^2,times_better_than_random,nutrient,leverage,feature,importance
228,stream,GBR,0.1591870762007922,1.4926771357072772,doc,leverage,elev,0.029783973224285963
229,stream,GBR,0.039194489017014944,1.8068184487084236,no3,leverage,elev,0.05639718945640389
230,stream,GBR,0.09560134696752408,1.4393826199268798,tn,leverage,elev,0.19339196239891074
231,stream,GBR,0.033148970773321566,1.3115957929869753,tp,leverage,elev,0.16815179796215154
232,stream,RFR,0.21259753163307185,5.207999011285195,doc,leverage,elev,0.03644790850208022
233,stream,RFR,0.1123693461491584,10.08860479436984,no3,leverage,elev,0.06596002253725756
234,stream,RFR,0.43452627197965704,10.3699048325758,tn,leverage,elev,0.1431969685204553
235,stream,RFR,0.10819624961127716,9.131071267406751,tp,leverage,elev,0.09746438684202093
236,stream,DTR,0.4596764865533909,7.441046229100187,doc,leverage,elev,0.01897188287054233
237,stream,DTR,0.044488453170611016,8.620387918387657,no3,leverage,elev,0.04935894371991647
238,stream,DTR,0.16057418753935007,8.798874681597974,tn,leverage,elev,0.22790954449586515
239,stream,DTR,0.07480883250393999,10.688852232074632,tp,leverage,elev,0.18671728473054705
240,lake,MLP,0.10096029491284643,2.3455509843152966,doc,leverage,elev,
241,lake,MLP,0.16499519685748898,3.28126037747711,no3,leverage,elev,
242,lake,MLP,0.23774500444157476,2.417766318898051,tn,leverage,elev,
243,lake,MLP,0.7894979365942154,2.7952037208025686,tp,leverage,elev,
244,lake,GBR,0.07273398172943403,0.911907409243538,doc,leverage,elev,0.17567954841891326
245,lake,GBR,0.3413360669825719,1.5824595874906129,no3,leverage,elev,0.04019089243569021
246,lake,GBR,0.4242830364206906,1.928129986083449,tn,leverage,elev,0.05131004831638454
247,lake,GBR,0.9145469034696276,4.594181149121052,tp,leverage,elev,0.015081989918960316
248,lake,RFR,0.30510342971992344,6.4246317671914825,doc,leverage,elev,0.26848658149206195
249,lake,RFR,0.5804064271241041,13.403264621582432,no3,leverage,elev,0.07818594413660228
250,lake,RFR,0.5185615031152988,9.660285089441627,tn,leverage,elev,0.09456924607388878
251,lake,RFR,0.9637725050867276,36.388539369550216,tp,leverage,elev,0.02084925025266981
252,lake,DTR,0.3049620078308919,5.870332921037273,doc,leverage,elev,0.05658393928214243
253,lake,DTR,0.5326869074304269,13.655781696913193,no3,leverage,elev,0.00651573085988106
254,lake,DTR,0.5659804654319438,10.281163270023512,tn,leverage,elev,0.0837817255357671
255,lake,DTR,0.8673048927183769,27.93950027251591,tp,leverage,elev,0.02081224835623396
256,lake,MLP,0.7147694747487117,3.887586157812286,doc,non_leverage,era,
257,lake,MLP,0.2372306244078595,1.7118218560127256,no3,non_leverage,era,
258,lake,MLP,0.5361912065904051,3.1008118541899727,tn,non_leverage,era,
259,lake,MLP,0.40038754349503575,2.438421841572056,tp,non_leverage,era,
260,lake,GBR,0.6029348400792531,2.8001167399317612,doc,non_leverage,era,0.00515540222574876
261,lake,GBR,0.2284537610601424,0.8561190998661943,no3,non_leverage,era,0.032113350129412806
262,lake,GBR,0.6521096056757774,2.8154485233275985,tn,non_leverage,era,0.007922524857241401
263,lake,GBR,0.8180891944212478,2.732244090322317,tp,non_leverage,era,0.005719687830725697
264,lake,RFR,0.8726545267115204,9.397501601728598,doc,non_leverage,era,0.003499252373197849
265,lake,RFR,0.5637174479545304,4.506543837988065,no3,non_leverage,era,0.007063559139030598
266,lake,RFR,0.777126487736277,6.7161860494785675,tn,non_leverage,era,0.002145111957567296
267,lake,RFR,0.8963707622532084,8.14190974943429,tp,non_leverage,era,0.0030843546686554393
268,lake,DTR,0.8225115684387735,8.97228661630467,doc,non_leverage,era,0.0007392349357904219
269,lake,DTR,0.2606430949512032,3.831092392042881,no3,non_leverage,era,0.0542526325064542
270,lake,DTR,0.4928275306015714,5.307827677707337,tn,non_leverage,era,0.00015030809290432482
271,lake,DTR,0.8699218033530913,9.226290643742592,tp,non_leverage,era,0.001041710243239317
272,stream,MLP,8.425742462769836e-05,0.09487907750925313,doc,non_leverage,era,
273,stream,MLP,0.0006129085632139429,0.00933183662118866,no3,non_leverage,era,
